batch,acc,data
0,0.63333333,0
7,0.66666667,8
8,0.73333333,16
335,0.76666667,24
633,0.83333333,32
1343,0.83333333,40
1367,0.83333333,48
1398,0.83333333,56
1635,0.83333333,64
1655,0.83333333,72
1664,0.83333333,80
1698,0.83333333,88
1701,0.83333333,96
1774,0.83333333,104
1783,0.86666667,112
1797,0.86666667,120
1828,0.86666667,128
1839,0.86666667,136
1842,0.86666667,144
1894,0.86666667,152
1905,0.86666667,160
1907,0.86666667,168
1909,0.86666667,176
1910,0.86666667,184
1915,0.86666667,192
1917,0.86666667,200
1927,0.86666667,208
1929,0.86666667,216
1935,0.86666667,224
1939,0.86666667,232
1941,0.86666667,240
1943,0.86666667,248
1954,0.86666667,256
1957,0.86666667,264
1958,0.86666667,272
1962,0.86666667,280
1964,0.86666667,288
1968,0.86666667,296
1971,0.86666667,304
1976,0.86666667,312
2018,0.86666667,320
2024,0.86666667,328
2026,0.86666667,336
2027,0.86666667,344
2030,0.86666667,352
2036,0.86666667,360
2044,0.86666667,368
2046,0.86666667,376
2048,0.86666667,384
2052,0.86666667,392
2054,0.86666667,400
2067,0.86666667,408
2068,0.86666667,416
2072,0.86666667,424
2073,0.86666667,432
2080,0.86666667,440
2085,0.86666667,448
2095,0.86666667,456
2115,0.86666667,464
2116,0.86666667,472
2253,0.86666667,480
2254,0.86666667,488
2285,0.86666667,496
2286,0.86666667,504
2287,0.86666667,512
2289,0.86666667,520
2290,0.86666667,528
2292,0.86666667,536
2293,0.86666667,544
2296,0.86666667,552
2305,0.86666667,560
2316,0.86666667,568
2319,0.86666667,576
2320,0.86666667,584
2322,0.86666667,592
2324,0.86666667,600
2325,0.86666667,608
2333,0.86666667,616
2335,0.86666667,624
2337,0.86666667,632
2338,0.86666667,640
2340,0.86666667,648
2341,0.86666667,656
2350,0.86666667,664
2351,0.86666667,672
2352,0.86666667,680
2353,0.86666667,688
2354,0.86666667,696
2355,0.86666667,704
2383,0.86666667,712
2384,0.86666667,720
2385,0.86666667,728
2386,0.86666667,736
2387,0.86666667,744
2389,0.86666667,752
2390,0.86666667,760
2391,0.86666667,768
2439,0.86666667,776
2470,0.86666667,784
2471,0.86666667,792
