batch,acc,data
0,0.66666667,0
1,0.70000000,4
5,0.73333333,8
1366,0.73333333,12
1370,0.73333333,16
1375,0.73333333,20
1376,0.73333333,24
1383,0.73333333,28
1385,0.73333333,32
1386,0.73333333,36
1390,0.73333333,40
1393,0.73333333,44
1394,0.73333333,48
1398,0.73333333,52
1403,0.73333333,56
1405,0.73333333,60
1412,0.73333333,64
1414,0.73333333,68
1415,0.73333333,72
1416,0.73333333,76
1418,0.73333333,80
1419,0.73333333,84
1427,0.73333333,88
1441,0.73333333,92
1466,0.73333333,96
1501,0.73333333,100
1502,0.73333333,104
1587,0.73333333,108
1713,0.73333333,112
1716,0.73333333,116
1717,0.73333333,120
1718,0.73333333,124
2948,0.73333333,128
2950,0.73333333,132
3024,0.73333333,136
