batch,acc,data
0,0.73333333,0
15,0.76666667,8
17,0.80000000,16
772,0.80000000,24
773,0.80000000,32
778,0.80000000,40
780,0.80000000,48
782,0.80000000,56
787,0.80000000,64
821,0.80000000,72
823,0.80000000,80
829,0.80000000,88
832,0.80000000,96
840,0.80000000,104
841,0.80000000,112
863,0.80000000,120
891,0.80000000,128
908,0.80000000,136
985,0.80000000,144
986,0.80000000,152
1003,0.80000000,160
1009,0.80000000,168
1010,0.80000000,176
1019,0.80000000,184
1023,0.80000000,192
1031,0.80000000,200
1033,0.80000000,208
1036,0.80000000,216
1039,0.80000000,224
1041,0.80000000,232
1045,0.80000000,240
1047,0.80000000,248
1059,0.80000000,256
1070,0.80000000,264
1071,0.80000000,272
1072,0.80000000,280
1077,0.83333333,288
1342,0.83333333,296
1350,0.83333333,304
2030,0.83333333,312
