batch,acc,data
0,0.70000000,0
29,0.73333333,4
40,0.76666667,8
264,0.80000000,12
1375,0.80000000,16
1464,0.80000000,20
1469,0.80000000,24
1482,0.80000000,28
1499,0.80000000,32
1519,0.80000000,36
1567,0.80000000,40
1568,0.80000000,44
1598,0.80000000,48
1600,0.80000000,52
1607,0.80000000,56
1610,0.80000000,60
1612,0.80000000,64
1636,0.80000000,68
1644,0.80000000,72
1654,0.80000000,76
1655,0.80000000,80
1662,0.80000000,84
1663,0.80000000,88
1673,0.80000000,92
1773,0.80000000,96
1775,0.80000000,100
1804,0.80000000,104
1855,0.80000000,108
1926,0.80000000,112
1941,0.80000000,116
2034,0.80000000,120
2042,0.80000000,124
2175,0.80000000,128
2204,0.80000000,132
2208,0.80000000,136
5375,0.80000000,140
5413,0.80000000,144
5693,0.80000000,148
