batch,acc,data
0,0.66666667,0
12,0.70000000,8
14,0.80000000,16
2305,0.80000000,24
2455,0.80000000,32
2513,0.80000000,40
2514,0.80000000,48
2515,0.80000000,56
2516,0.80000000,64
2522,0.80000000,72
2529,0.80000000,80
2531,0.80000000,88
2542,0.80000000,96
2544,0.80000000,104
2545,0.80000000,112
2551,0.80000000,120
2554,0.83333333,128
2567,0.83333333,136
2665,0.83333333,144
2699,0.83333333,152
2781,0.83333333,160
2912,0.83333333,168
2935,0.83333333,176
2940,0.83333333,184
3162,0.83333333,192
3184,0.83333333,200
3190,0.83333333,208
3198,0.83333333,216
3208,0.83333333,224
3224,0.83333333,232
3233,0.83333333,240
3234,0.83333333,248
3242,0.83333333,256
3263,0.83333333,264
3266,0.83333333,272
3270,0.83333333,280
3271,0.83333333,288
3329,0.83333333,296
3331,0.83333333,304
3335,0.83333333,312
