batch,acc,data
0,0.73333333,0
4,0.76666667,8
5,0.83333333,16
236,0.86666667,24
284,0.86666667,32
346,0.86666667,40
493,0.86666667,48
541,0.86666667,56
653,0.86666667,64
754,0.86666667,72
766,0.86666667,80
786,0.86666667,88
821,0.86666667,96
822,0.86666667,104
842,0.86666667,112
843,0.86666667,120
849,0.86666667,128
850,0.86666667,136
851,0.86666667,144
853,0.86666667,152
862,0.86666667,160
863,0.86666667,168
871,0.86666667,176
884,0.86666667,184
887,0.86666667,192
894,0.86666667,200
919,0.86666667,208
932,0.86666667,216
952,0.86666667,224
997,0.86666667,232
1006,0.86666667,240
1012,0.86666667,248
1313,0.86666667,256
1320,0.86666667,264
1326,0.86666667,272
1328,0.86666667,280
1330,0.86666667,288
1335,0.86666667,296
1401,0.86666667,304
1406,0.86666667,312
1411,0.86666667,320
1412,0.86666667,328
1438,0.86666667,336
1440,0.86666667,344
1441,0.86666667,352
1445,0.86666667,360
1447,0.86666667,368
1448,0.86666667,376
1449,0.86666667,384
1455,0.86666667,392
1463,0.86666667,400
1464,0.86666667,408
1471,0.86666667,416
1476,0.86666667,424
2296,0.86666667,432
2340,0.86666667,440
2351,0.86666667,448
2352,0.86666667,456
2357,0.86666667,464
2358,0.86666667,472
2359,0.86666667,480
2367,0.86666667,488
2377,0.86666667,496
2382,0.86666667,504
2386,0.86666667,512
2391,0.86666667,520
2425,0.86666667,528
2444,0.86666667,536
2456,0.86666667,544
2523,0.86666667,552
2540,0.86666667,560
2569,0.86666667,568
2572,0.86666667,576
2574,0.86666667,584
2575,0.86666667,592
2584,0.86666667,600
2594,0.86666667,608
2595,0.86666667,616
2597,0.86666667,624
2599,0.86666667,632
2600,0.86666667,640
2602,0.86666667,648
2603,0.86666667,656
2605,0.86666667,664
2645,0.86666667,672
2650,0.86666667,680
2651,0.86666667,688
2653,0.86666667,696
2655,0.86666667,704
2657,0.90000000,712
2708,0.90000000,720
2752,0.90000000,728
2796,0.90000000,736
2806,0.90000000,744
2807,0.90000000,752
2808,0.90000000,760
2818,0.90000000,768
2821,0.90000000,776
2823,0.90000000,784
2833,0.90000000,792
2834,0.90000000,800
2849,0.90000000,808
2850,0.90000000,816
2851,0.90000000,824
2853,0.90000000,832
2857,0.90000000,840
2873,0.90000000,848
2876,0.90000000,856
2877,0.90000000,864
2879,0.90000000,872
2881,0.90000000,880
2885,0.90000000,888
2904,0.90000000,896
2905,0.90000000,904
2907,0.90000000,912
2915,0.90000000,920
2924,0.90000000,928
2926,0.90000000,936
2927,0.90000000,944
2935,0.90000000,952
2936,0.90000000,960
2939,0.90000000,968
2941,0.90000000,976
2943,0.90000000,984
2944,0.90000000,992
2946,0.90000000,1000
2964,0.90000000,1008
2968,0.90000000,1016
2970,0.90000000,1024
2972,0.90000000,1032
2976,0.90000000,1040
2979,0.90000000,1048
2992,0.90000000,1056
3004,0.90000000,1064
3006,0.90000000,1072
3016,0.90000000,1080
3017,0.90000000,1088
3018,0.90000000,1096
3020,0.90000000,1104
3022,0.90000000,1112
3024,0.90000000,1120
3033,0.90000000,1128
3034,0.90000000,1136
3036,0.90000000,1144
3038,0.90000000,1152
3056,0.90000000,1160
3072,0.90000000,1168
3094,0.90000000,1176
3099,0.90000000,1184
3101,0.90000000,1192
3105,0.90000000,1200
3122,0.90000000,1208
3130,0.90000000,1216
3140,0.90000000,1224
