batch,acc,data
0,0.66666667,0
1,0.70000000,4
5,0.73333333,8
1366,0.73333333,12
1370,0.73333333,16
1427,0.73333333,20
1430,0.73333333,24
1431,0.73333333,28
1435,0.73333333,32
1440,0.73333333,36
1446,0.73333333,40
1448,0.73333333,44
1449,0.73333333,48
1450,0.73333333,52
1454,0.73333333,56
1456,0.73333333,60
1457,0.73333333,64
1494,0.73333333,68
1495,0.73333333,72
1496,0.73333333,76
1497,0.73333333,80
1502,0.73333333,84
1503,0.73333333,88
1507,0.73333333,92
1508,0.73333333,96
1915,0.73333333,100
1918,0.73333333,104
1930,0.73333333,108
1931,0.73333333,112
2388,0.73333333,116
2389,0.73333333,120
2391,0.73333333,124
2392,0.73333333,128
2393,0.73333333,132
2395,0.73333333,136
2525,0.73333333,140
2526,0.73333333,144
2527,0.73333333,148
2550,0.73333333,152
2551,0.73333333,156
2553,0.73333333,160
2554,0.73333333,164
2555,0.73333333,168
2592,0.73333333,172
2593,0.73333333,176
2594,0.73333333,180
2604,0.73333333,184
3969,0.73333333,188
3978,0.73333333,192
