batch,acc,data
0,0.70000000,0
1,0.73333333,8
25,0.76666667,16
684,0.76666667,24
696,0.76666667,32
697,0.76666667,40
702,0.76666667,48
706,0.76666667,56
708,0.76666667,64
712,0.76666667,72
714,0.76666667,80
747,0.76666667,88
782,0.76666667,96
824,0.76666667,104
826,0.76666667,112
859,0.76666667,120
863,0.76666667,128
867,0.76666667,136
868,0.76666667,144
869,0.76666667,152
870,0.76666667,160
871,0.80000000,168
872,0.80000000,176
873,0.80000000,184
874,0.80000000,192
875,0.80000000,200
877,0.80000000,208
879,0.80000000,216
881,0.80000000,224
882,0.80000000,232
883,0.80000000,240
884,0.80000000,248
885,0.80000000,256
886,0.80000000,264
887,0.80000000,272
888,0.80000000,280
889,0.80000000,288
890,0.80000000,296
891,0.80000000,304
892,0.80000000,312
893,0.80000000,320
895,0.80000000,328
896,0.80000000,336
899,0.80000000,344
903,0.80000000,352
905,0.80000000,360
908,0.80000000,368
909,0.80000000,376
912,0.80000000,384
914,0.80000000,392
918,0.80000000,400
932,0.80000000,408
968,0.80000000,416
972,0.80000000,424
1289,0.80000000,432
1306,0.80000000,440
1739,0.80000000,448
1765,0.80000000,456
1824,0.80000000,464
3145,0.80000000,472
