batch,acc,data
0,0.66666667,0
1,0.73333333,32
3,0.76666667,64
203,0.76666667,96
205,0.76666667,128
208,0.76666667,160
211,0.76666667,192
212,0.76666667,224
217,0.76666667,256
218,0.76666667,288
219,0.76666667,320
221,0.76666667,352
222,0.76666667,384
224,0.76666667,416
234,0.76666667,448
239,0.76666667,480
241,0.76666667,512
242,0.76666667,544
243,0.76666667,576
244,0.76666667,608
245,0.76666667,640
246,0.76666667,672
247,0.76666667,704
248,0.76666667,736
249,0.76666667,768
250,0.76666667,800
251,0.76666667,832
252,0.76666667,864
253,0.76666667,896
254,0.76666667,928
255,0.76666667,960
256,0.76666667,992
257,0.76666667,1024
258,0.76666667,1056
259,0.76666667,1088
260,0.76666667,1120
261,0.76666667,1152
262,0.76666667,1184
263,0.76666667,1216
264,0.76666667,1248
265,0.76666667,1280
266,0.76666667,1312
267,0.76666667,1344
268,0.76666667,1376
269,0.76666667,1408
270,0.76666667,1440
271,0.76666667,1472
272,0.76666667,1504
273,0.76666667,1536
274,0.76666667,1568
275,0.76666667,1600
276,0.76666667,1632
277,0.76666667,1664
278,0.76666667,1696
279,0.76666667,1728
280,0.76666667,1760
281,0.76666667,1792
282,0.76666667,1824
283,0.76666667,1856
284,0.76666667,1888
285,0.76666667,1920
286,0.76666667,1952
287,0.76666667,1984
288,0.76666667,2016
289,0.76666667,2048
290,0.76666667,2080
291,0.76666667,2112
292,0.76666667,2144
293,0.76666667,2176
294,0.76666667,2208
295,0.76666667,2240
296,0.76666667,2272
297,0.76666667,2304
298,0.76666667,2336
299,0.76666667,2368
300,0.76666667,2400
301,0.76666667,2432
302,0.76666667,2464
303,0.76666667,2496
304,0.76666667,2528
305,0.76666667,2560
306,0.76666667,2592
307,0.76666667,2624
308,0.76666667,2656
309,0.76666667,2688
310,0.76666667,2720
311,0.76666667,2752
312,0.76666667,2784
313,0.76666667,2816
314,0.76666667,2848
315,0.76666667,2880
316,0.76666667,2912
317,0.76666667,2944
318,0.76666667,2976
319,0.76666667,3008
320,0.76666667,3040
321,0.76666667,3072
322,0.76666667,3104
323,0.76666667,3136
324,0.76666667,3168
325,0.76666667,3200
326,0.76666667,3232
327,0.76666667,3264
328,0.76666667,3296
329,0.76666667,3328
330,0.76666667,3360
331,0.76666667,3392
332,0.76666667,3424
333,0.76666667,3456
334,0.76666667,3488
335,0.76666667,3520
336,0.76666667,3552
337,0.76666667,3584
338,0.76666667,3616
339,0.76666667,3648
340,0.76666667,3680
341,0.76666667,3712
342,0.76666667,3744
343,0.76666667,3776
344,0.76666667,3808
345,0.76666667,3840
346,0.76666667,3872
347,0.76666667,3904
348,0.76666667,3936
349,0.76666667,3968
350,0.76666667,4000
351,0.76666667,4032
352,0.76666667,4064
353,0.76666667,4096
354,0.76666667,4128
355,0.76666667,4160
356,0.76666667,4192
357,0.76666667,4224
358,0.76666667,4256
359,0.76666667,4288
360,0.76666667,4320
361,0.76666667,4352
362,0.76666667,4384
363,0.76666667,4416
364,0.76666667,4448
365,0.76666667,4480
366,0.76666667,4512
367,0.76666667,4544
368,0.76666667,4576
369,0.76666667,4608
370,0.76666667,4640
371,0.76666667,4672
372,0.76666667,4704
373,0.76666667,4736
374,0.76666667,4768
375,0.76666667,4800
376,0.76666667,4832
377,0.76666667,4864
378,0.76666667,4896
379,0.76666667,4928
380,0.76666667,4960
381,0.76666667,4992
382,0.76666667,5024
383,0.76666667,5056
384,0.76666667,5088
385,0.76666667,5120
386,0.76666667,5152
387,0.76666667,5184
388,0.76666667,5216
389,0.76666667,5248
390,0.76666667,5280
391,0.76666667,5312
392,0.76666667,5344
393,0.76666667,5376
394,0.76666667,5408
395,0.76666667,5440
