batch,acc,data
0,0.70000000,0
412,0.70000000,16
413,0.70000000,32
414,0.70000000,48
416,0.70000000,64
418,0.70000000,80
421,0.70000000,96
423,0.70000000,112
427,0.70000000,128
429,0.70000000,144
430,0.70000000,160
435,0.70000000,176
445,0.70000000,192
448,0.70000000,208
449,0.70000000,224
450,0.70000000,240
451,0.70000000,256
452,0.70000000,272
453,0.70000000,288
454,0.70000000,304
455,0.70000000,320
457,0.70000000,336
459,0.70000000,352
461,0.70000000,368
462,0.70000000,384
467,0.70000000,400
468,0.70000000,416
470,0.70000000,432
471,0.70000000,448
473,0.70000000,464
478,0.70000000,480
479,0.70000000,496
499,0.70000000,512
500,0.70000000,528
501,0.70000000,544
502,0.70000000,560
503,0.70000000,576
505,0.70000000,592
506,0.70000000,608
507,0.70000000,624
509,0.70000000,640
510,0.70000000,656
511,0.70000000,672
513,0.70000000,688
514,0.70000000,704
515,0.70000000,720
516,0.70000000,736
517,0.70000000,752
518,0.70000000,768
519,0.70000000,784
520,0.70000000,800
522,0.70000000,816
523,0.70000000,832
524,0.70000000,848
525,0.70000000,864
526,0.70000000,880
527,0.70000000,896
529,0.70000000,912
530,0.70000000,928
531,0.70000000,944
532,0.70000000,960
533,0.70000000,976
535,0.70000000,992
536,0.70000000,1008
537,0.70000000,1024
538,0.70000000,1040
539,0.70000000,1056
540,0.70000000,1072
541,0.70000000,1088
543,0.70000000,1104
544,0.70000000,1120
546,0.70000000,1136
548,0.70000000,1152
549,0.70000000,1168
550,0.70000000,1184
551,0.70000000,1200
555,0.70000000,1216
556,0.70000000,1232
558,0.70000000,1248
560,0.70000000,1264
562,0.70000000,1280
563,0.70000000,1296
564,0.70000000,1312
565,0.70000000,1328
566,0.70000000,1344
567,0.70000000,1360
568,0.70000000,1376
569,0.70000000,1392
570,0.70000000,1408
571,0.70000000,1424
572,0.70000000,1440
574,0.70000000,1456
575,0.70000000,1472
576,0.70000000,1488
577,0.70000000,1504
578,0.70000000,1520
579,0.70000000,1536
580,0.70000000,1552
581,0.70000000,1568
582,0.70000000,1584
583,0.70000000,1600
584,0.70000000,1616
585,0.70000000,1632
586,0.70000000,1648
587,0.70000000,1664
588,0.70000000,1680
589,0.70000000,1696
590,0.70000000,1712
592,0.70000000,1728
593,0.70000000,1744
594,0.70000000,1760
596,0.70000000,1776
597,0.70000000,1792
598,0.70000000,1808
599,0.70000000,1824
600,0.70000000,1840
601,0.70000000,1856
602,0.70000000,1872
603,0.70000000,1888
604,0.70000000,1904
605,0.70000000,1920
606,0.70000000,1936
607,0.70000000,1952
608,0.70000000,1968
609,0.70000000,1984
610,0.70000000,2000
611,0.70000000,2016
612,0.70000000,2032
613,0.70000000,2048
614,0.70000000,2064
615,0.70000000,2080
616,0.70000000,2096
617,0.70000000,2112
618,0.70000000,2128
619,0.70000000,2144
620,0.70000000,2160
621,0.70000000,2176
622,0.70000000,2192
623,0.70000000,2208
624,0.70000000,2224
625,0.70000000,2240
626,0.70000000,2256
628,0.70000000,2272
629,0.70000000,2288
630,0.70000000,2304
631,0.70000000,2320
632,0.70000000,2336
633,0.70000000,2352
635,0.70000000,2368
636,0.70000000,2384
637,0.70000000,2400
638,0.70000000,2416
640,0.70000000,2432
641,0.70000000,2448
642,0.70000000,2464
643,0.70000000,2480
644,0.70000000,2496
645,0.70000000,2512
646,0.70000000,2528
647,0.70000000,2544
648,0.70000000,2560
649,0.70000000,2576
650,0.70000000,2592
651,0.70000000,2608
652,0.70000000,2624
653,0.70000000,2640
654,0.70000000,2656
655,0.70000000,2672
656,0.70000000,2688
657,0.70000000,2704
658,0.70000000,2720
659,0.70000000,2736
660,0.70000000,2752
662,0.70000000,2768
663,0.70000000,2784
664,0.70000000,2800
665,0.70000000,2816
666,0.70000000,2832
667,0.70000000,2848
668,0.70000000,2864
669,0.70000000,2880
670,0.70000000,2896
671,0.70000000,2912
672,0.70000000,2928
674,0.70000000,2944
675,0.70000000,2960
676,0.70000000,2976
677,0.70000000,2992
678,0.70000000,3008
679,0.70000000,3024
680,0.70000000,3040
681,0.70000000,3056
682,0.70000000,3072
683,0.70000000,3088
684,0.70000000,3104
685,0.70000000,3120
686,0.70000000,3136
687,0.70000000,3152
688,0.70000000,3168
689,0.70000000,3184
690,0.70000000,3200
691,0.70000000,3216
692,0.70000000,3232
693,0.70000000,3248
694,0.70000000,3264
695,0.70000000,3280
696,0.70000000,3296
697,0.70000000,3312
698,0.70000000,3328
700,0.70000000,3344
701,0.70000000,3360
702,0.70000000,3376
703,0.70000000,3392
704,0.70000000,3408
705,0.70000000,3424
706,0.70000000,3440
707,0.70000000,3456
708,0.70000000,3472
709,0.70000000,3488
710,0.70000000,3504
711,0.70000000,3520
712,0.70000000,3536
713,0.70000000,3552
714,0.70000000,3568
715,0.70000000,3584
716,0.70000000,3600
717,0.70000000,3616
719,0.70000000,3632
720,0.70000000,3648
721,0.70000000,3664
722,0.70000000,3680
723,0.70000000,3696
724,0.70000000,3712
725,0.70000000,3728
726,0.70000000,3744
727,0.70000000,3760
728,0.70000000,3776
729,0.70000000,3792
730,0.70000000,3808
731,0.70000000,3824
732,0.70000000,3840
733,0.70000000,3856
734,0.70000000,3872
735,0.70000000,3888
737,0.70000000,3904
738,0.70000000,3920
739,0.70000000,3936
740,0.70000000,3952
741,0.70000000,3968
742,0.70000000,3984
747,0.70000000,4000
748,0.70000000,4016
749,0.70000000,4032
750,0.70000000,4048
751,0.70000000,4064
752,0.70000000,4080
753,0.70000000,4096
754,0.70000000,4112
755,0.70000000,4128
756,0.70000000,4144
757,0.70000000,4160
758,0.70000000,4176
