batch,acc,data
0,0.70000000,0
1,0.73333333,32
171,0.73333333,64
172,0.73333333,96
173,0.73333333,128
174,0.73333333,160
175,0.73333333,192
176,0.73333333,224
177,0.73333333,256
178,0.73333333,288
179,0.73333333,320
180,0.73333333,352
181,0.73333333,384
182,0.73333333,416
183,0.73333333,448
184,0.73333333,480
185,0.73333333,512
186,0.73333333,544
187,0.73333333,576
188,0.73333333,608
189,0.73333333,640
190,0.73333333,672
191,0.73333333,704
192,0.73333333,736
193,0.73333333,768
194,0.73333333,800
195,0.73333333,832
196,0.73333333,864
197,0.73333333,896
198,0.73333333,928
199,0.73333333,960
200,0.73333333,992
201,0.73333333,1024
202,0.73333333,1056
203,0.73333333,1088
204,0.73333333,1120
205,0.73333333,1152
206,0.73333333,1184
207,0.73333333,1216
208,0.73333333,1248
209,0.73333333,1280
210,0.73333333,1312
211,0.73333333,1344
212,0.73333333,1376
213,0.73333333,1408
214,0.73333333,1440
215,0.73333333,1472
216,0.73333333,1504
217,0.73333333,1536
218,0.73333333,1568
219,0.73333333,1600
220,0.73333333,1632
221,0.73333333,1664
222,0.73333333,1696
223,0.73333333,1728
224,0.73333333,1760
225,0.73333333,1792
226,0.73333333,1824
227,0.73333333,1856
228,0.73333333,1888
229,0.73333333,1920
230,0.73333333,1952
231,0.73333333,1984
232,0.73333333,2016
233,0.73333333,2048
234,0.73333333,2080
235,0.73333333,2112
236,0.73333333,2144
237,0.73333333,2176
238,0.73333333,2208
239,0.73333333,2240
240,0.73333333,2272
241,0.73333333,2304
242,0.73333333,2336
243,0.73333333,2368
244,0.73333333,2400
245,0.73333333,2432
246,0.73333333,2464
247,0.73333333,2496
248,0.73333333,2528
249,0.73333333,2560
250,0.73333333,2592
251,0.73333333,2624
252,0.73333333,2656
253,0.73333333,2688
254,0.73333333,2720
255,0.73333333,2752
256,0.73333333,2784
257,0.73333333,2816
258,0.73333333,2848
259,0.73333333,2880
260,0.73333333,2912
261,0.73333333,2944
262,0.73333333,2976
263,0.73333333,3008
264,0.73333333,3040
265,0.73333333,3072
266,0.73333333,3104
267,0.73333333,3136
268,0.73333333,3168
269,0.73333333,3200
270,0.73333333,3232
271,0.73333333,3264
272,0.73333333,3296
273,0.73333333,3328
274,0.73333333,3360
275,0.73333333,3392
276,0.73333333,3424
277,0.73333333,3456
278,0.73333333,3488
279,0.73333333,3520
280,0.73333333,3552
281,0.73333333,3584
282,0.73333333,3616
283,0.73333333,3648
284,0.73333333,3680
285,0.73333333,3712
286,0.73333333,3744
287,0.73333333,3776
288,0.73333333,3808
289,0.73333333,3840
290,0.73333333,3872
291,0.73333333,3904
292,0.73333333,3936
293,0.73333333,3968
294,0.73333333,4000
295,0.73333333,4032
296,0.73333333,4064
297,0.73333333,4096
298,0.73333333,4128
299,0.73333333,4160
300,0.73333333,4192
301,0.73333333,4224
302,0.73333333,4256
303,0.73333333,4288
304,0.73333333,4320
305,0.73333333,4352
306,0.73333333,4384
307,0.73333333,4416
308,0.73333333,4448
309,0.73333333,4480
310,0.73333333,4512
311,0.73333333,4544
312,0.73333333,4576
313,0.73333333,4608
314,0.73333333,4640
315,0.73333333,4672
316,0.73333333,4704
317,0.73333333,4736
318,0.73333333,4768
319,0.73333333,4800
320,0.73333333,4832
321,0.73333333,4864
322,0.73333333,4896
323,0.73333333,4928
324,0.73333333,4960
325,0.73333333,4992
326,0.73333333,5024
327,0.73333333,5056
328,0.73333333,5088
329,0.73333333,5120
330,0.73333333,5152
331,0.73333333,5184
332,0.73333333,5216
333,0.73333333,5248
334,0.73333333,5280
335,0.73333333,5312
336,0.73333333,5344
337,0.73333333,5376
338,0.73333333,5408
339,0.73333333,5440
