batch,acc,data
0,0.76666667,0
17,0.80000000,8
88,0.83333333,16
306,0.86666667,24
451,0.86666667,32
467,0.86666667,40
536,0.86666667,48
560,0.86666667,56
587,0.86666667,64
601,0.86666667,72
661,0.86666667,80
760,0.86666667,88
772,0.86666667,96
834,0.86666667,104
835,0.86666667,112
1390,0.86666667,120
1403,0.86666667,128
1426,0.86666667,136
1432,0.86666667,144
1433,0.86666667,152
1436,0.86666667,160
1438,0.90000000,168
1442,0.90000000,176
1478,0.90000000,184
1491,0.90000000,192
1766,0.90000000,200
1776,0.90000000,208
1785,0.90000000,216
1792,0.90000000,224
2357,0.90000000,232
2451,0.90000000,240
2820,0.90000000,248
2887,0.90000000,256
2920,0.90000000,264
3003,0.90000000,272
