batch,acc,data,epoch
0,0.73333333,0,0
872,0.73333333,8,1
874,0.73333333,16,1
876,0.73333333,24,1
877,0.73333333,32,1
879,0.73333333,40,1
881,0.73333333,48,1
883,0.73333333,56,1
884,0.73333333,64,1
885,0.73333333,72,1
887,0.73333333,80,1
889,0.73333333,88,1
890,0.73333333,96,1
891,0.73333333,104,1
893,0.73333333,112,1
894,0.73333333,120,1
895,0.73333333,128,1
896,0.73333333,136,1
897,0.73333333,144,1
898,0.73333333,152,1
899,0.73333333,160,1
900,0.73333333,168,1
901,0.73333333,176,1
902,0.73333333,184,1
903,0.73333333,192,1
904,0.73333333,200,1
905,0.73333333,208,1
907,0.73333333,216,1
908,0.73333333,224,1
909,0.73333333,232,1
910,0.73333333,240,1
911,0.73333333,248,1
912,0.73333333,256,1
913,0.73333333,264,1
914,0.73333333,272,1
915,0.73333333,280,1
916,0.73333333,288,1
917,0.73333333,296,1
918,0.73333333,304,1
919,0.73333333,312,1
920,0.73333333,320,1
921,0.73333333,328,1
922,0.73333333,336,1
923,0.73333333,344,1
925,0.73333333,352,1
926,0.73333333,360,1
927,0.73333333,368,1
928,0.73333333,376,1
930,0.73333333,384,1
931,0.73333333,392,1
932,0.73333333,400,1
933,0.73333333,408,1
934,0.73333333,416,1
935,0.73333333,424,1
936,0.73333333,432,1
937,0.73333333,440,1
938,0.73333333,448,1
940,0.73333333,456,1
941,0.73333333,464,1
942,0.73333333,472,1
943,0.73333333,480,1
944,0.73333333,488,1
945,0.73333333,496,1
946,0.73333333,504,1
947,0.73333333,512,1
948,0.73333333,520,1
949,0.73333333,528,1
951,0.73333333,536,1
952,0.73333333,544,1
954,0.73333333,552,1
955,0.73333333,560,1
956,0.73333333,568,1
957,0.73333333,576,1
958,0.73333333,584,1
959,0.73333333,592,1
961,0.73333333,600,1
963,0.73333333,608,1
964,0.73333333,616,1
965,0.73333333,624,1
967,0.73333333,632,1
968,0.73333333,640,1
969,0.73333333,648,1
970,0.73333333,656,1
971,0.73333333,664,1
972,0.73333333,672,1
974,0.73333333,680,1
975,0.73333333,688,1
976,0.73333333,696,1
977,0.73333333,704,1
978,0.73333333,712,1
979,0.73333333,720,1
980,0.73333333,728,1
981,0.73333333,736,1
982,0.73333333,744,1
983,0.73333333,752,1
984,0.73333333,760,1
985,0.73333333,768,1
987,0.73333333,776,1
988,0.73333333,784,1
989,0.73333333,792,1
990,0.73333333,800,1
991,0.73333333,808,1
992,0.73333333,816,1
993,0.73333333,824,1
995,0.73333333,832,1
996,0.73333333,840,1
997,0.73333333,848,1
999,0.73333333,856,1
1000,0.73333333,864,1
1001,0.73333333,872,1
1002,0.73333333,880,1
1003,0.73333333,888,1
1004,0.73333333,896,1
1005,0.73333333,904,1
1006,0.73333333,912,1
1008,0.73333333,920,1
1009,0.73333333,928,1
1011,0.73333333,936,1
1012,0.73333333,944,1
1013,0.73333333,952,1
1014,0.73333333,960,1
1015,0.73333333,968,1
1016,0.73333333,976,1
1017,0.73333333,984,1
1019,0.73333333,992,1
1023,0.73333333,1000,1
1024,0.73333333,1008,1
1026,0.73333333,1016,1
1027,0.73333333,1024,1
1030,0.73333333,1032,1
1031,0.73333333,1040,1
1032,0.73333333,1048,1
1033,0.73333333,1056,1
1034,0.73333333,1064,1
1035,0.73333333,1072,1
1036,0.73333333,1080,1
1037,0.73333333,1088,1
1039,0.73333333,1096,1
1040,0.73333333,1104,1
1041,0.73333333,1112,1
1043,0.73333333,1120,1
1044,0.73333333,1128,1
1045,0.73333333,1136,1
1046,0.73333333,1144,1
1047,0.73333333,1152,1
1049,0.73333333,1160,1
1050,0.73333333,1168,1
1051,0.73333333,1176,1
1052,0.73333333,1184,1
1053,0.73333333,1192,1
1054,0.73333333,1200,1
1056,0.73333333,1208,1
1057,0.73333333,1216,1
1060,0.73333333,1224,1
1061,0.73333333,1232,1
1062,0.73333333,1240,1
1063,0.73333333,1248,1
1064,0.76666667,1256,1
1065,0.76666667,1264,1
1066,0.76666667,1272,1
1067,0.76666667,1280,1
1069,0.76666667,1288,1
1070,0.76666667,1296,1
1071,0.76666667,1304,1
1072,0.76666667,1312,1
1073,0.76666667,1320,1
1074,0.76666667,1328,1
1075,0.76666667,1336,1
1076,0.76666667,1344,1
1077,0.76666667,1352,1
1078,0.76666667,1360,1
1079,0.76666667,1368,1
1080,0.76666667,1376,1
1081,0.76666667,1384,1
1082,0.76666667,1392,1
1083,0.76666667,1400,1
1084,0.76666667,1408,1
1085,0.76666667,1416,1
1086,0.76666667,1424,1
1087,0.76666667,1432,1
1088,0.76666667,1440,1
1089,0.76666667,1448,1
1090,0.76666667,1456,1
1091,0.76666667,1464,1
1092,0.76666667,1472,1
1094,0.76666667,1480,1
1095,0.76666667,1488,1
1096,0.76666667,1496,1
1097,0.76666667,1504,1
1098,0.76666667,1512,1
1099,0.76666667,1520,1
1100,0.76666667,1528,1
1101,0.76666667,1536,1
1102,0.76666667,1544,1
1103,0.76666667,1552,1
1104,0.76666667,1560,1
1105,0.76666667,1568,1
1107,0.76666667,1576,1
1109,0.76666667,1584,1
1113,0.76666667,1592,1
1114,0.76666667,1600,1
1124,0.76666667,1608,1
1129,0.76666667,1616,1
1130,0.76666667,1624,1
1131,0.76666667,1632,1
1132,0.76666667,1640,1
1144,0.76666667,1648,1
1148,0.76666667,1656,1
1150,0.76666667,1664,1
1153,0.76666667,1672,1
1154,0.76666667,1680,1
1155,0.76666667,1688,1
1157,0.76666667,1696,1
1162,0.76666667,1704,1
1164,0.76666667,1712,1
1165,0.76666667,1720,1
1166,0.76666667,1728,1
1168,0.76666667,1736,1
1169,0.76666667,1744,1
1170,0.76666667,1752,1
1175,0.76666667,1760,1
1177,0.76666667,1768,1
1178,0.76666667,1776,1
1181,0.76666667,1784,1
1183,0.76666667,1792,1
1184,0.76666667,1800,1
1185,0.76666667,1808,1
1186,0.76666667,1816,1
1187,0.76666667,1824,1
1191,0.76666667,1832,1
1195,0.76666667,1840,1
1209,0.76666667,1848,1
1211,0.76666667,1856,1
1212,0.76666667,1864,1
1214,0.76666667,1872,1
1215,0.76666667,1880,1
1216,0.76666667,1888,1
1217,0.76666667,1896,1
1218,0.76666667,1904,1
1219,0.76666667,1912,1
1221,0.76666667,1920,1
1222,0.76666667,1928,1
1223,0.76666667,1936,1
1224,0.76666667,1944,1
1225,0.76666667,1952,1
1227,0.76666667,1960,1
1229,0.76666667,1968,1
1230,0.76666667,1976,1
1231,0.76666667,1984,1
1232,0.76666667,1992,1
1233,0.76666667,2000,1
1234,0.76666667,2008,1
1235,0.76666667,2016,1
1236,0.76666667,2024,1
1238,0.76666667,2032,1
1239,0.76666667,2040,1
1240,0.76666667,2048,1
1241,0.76666667,2056,1
1242,0.76666667,2064,1
1244,0.76666667,2072,1
1245,0.76666667,2080,1
1247,0.76666667,2088,1
1248,0.76666667,2096,1
1249,0.76666667,2104,1
1250,0.76666667,2112,1
1251,0.76666667,2120,1
1252,0.76666667,2128,1
1254,0.76666667,2136,1
1256,0.76666667,2144,1
1257,0.76666667,2152,1
1258,0.76666667,2160,1
1259,0.76666667,2168,1
1260,0.76666667,2176,1
1261,0.76666667,2184,1
1262,0.76666667,2192,1
1264,0.76666667,2200,1
1265,0.76666667,2208,1
1266,0.76666667,2216,1
1267,0.76666667,2224,1
1269,0.76666667,2232,1
1270,0.76666667,2240,1
1271,0.76666667,2248,1
1272,0.76666667,2256,1
1273,0.76666667,2264,1
1274,0.76666667,2272,1
1275,0.76666667,2280,1
1277,0.76666667,2288,1
1279,0.76666667,2296,1
1280,0.76666667,2304,1
1281,0.76666667,2312,1
1282,0.76666667,2320,1
1284,0.76666667,2328,1
1285,0.76666667,2336,1
1286,0.76666667,2344,1
1287,0.76666667,2352,1
1288,0.76666667,2360,1
1290,0.76666667,2368,1
1291,0.76666667,2376,1
1292,0.76666667,2384,1
1293,0.76666667,2392,1
1294,0.76666667,2400,1
1296,0.76666667,2408,1
1297,0.76666667,2416,1
1298,0.76666667,2424,1
1300,0.76666667,2432,1
1301,0.76666667,2440,1
1302,0.76666667,2448,1
1303,0.76666667,2456,1
1305,0.76666667,2464,1
1307,0.76666667,2472,1
1308,0.76666667,2480,1
1309,0.76666667,2488,1
1312,0.76666667,2496,1
1313,0.76666667,2504,1
1314,0.76666667,2512,1
1316,0.76666667,2520,1
1317,0.76666667,2528,1
1318,0.76666667,2536,1
1319,0.76666667,2544,1
1321,0.76666667,2552,1
1322,0.76666667,2560,1
1323,0.76666667,2568,1
1324,0.76666667,2576,1
1325,0.76666667,2584,1
1326,0.76666667,2592,1
1329,0.76666667,2600,1
1330,0.76666667,2608,1
1332,0.76666667,2616,1
1333,0.76666667,2624,1
1334,0.76666667,2632,1
1335,0.76666667,2640,1
1336,0.76666667,2648,1
1337,0.76666667,2656,1
1338,0.76666667,2664,1
1339,0.76666667,2672,1
1340,0.76666667,2680,1
1341,0.76666667,2688,1
1343,0.76666667,2696,1
1344,0.76666667,2704,1
1345,0.76666667,2712,1
1346,0.76666667,2720,1
1347,0.76666667,2728,1
1348,0.76666667,2736,1
1349,0.76666667,2744,1
1350,0.76666667,2752,1
1351,0.76666667,2760,1
1352,0.76666667,2768,1
1353,0.76666667,2776,1
1354,0.76666667,2784,1
1355,0.76666667,2792,1
1356,0.76666667,2800,1
1357,0.76666667,2808,1
1358,0.76666667,2816,1
1359,0.76666667,2824,1
1360,0.76666667,2832,1
1361,0.76666667,2840,1
1362,0.76666667,2848,1
1364,0.76666667,2856,1
1365,0.76666667,2864,1
1366,0.76666667,2872,1
1367,0.76666667,2880,1
1368,0.76666667,2888,1
1369,0.76666667,2896,1
1370,0.76666667,2904,1
1372,0.76666667,2912,1
1373,0.76666667,2920,1
1374,0.76666667,2928,1
1375,0.76666667,2936,1
1376,0.76666667,2944,1
1377,0.76666667,2952,1
1378,0.76666667,2960,1
1379,0.76666667,2968,1
1380,0.76666667,2976,1
1382,0.76666667,2984,1
1383,0.76666667,2992,1
1384,0.76666667,3000,1
1385,0.76666667,3008,1
1386,0.76666667,3016,1
1387,0.76666667,3024,1
1388,0.76666667,3032,1
1389,0.76666667,3040,1
1390,0.76666667,3048,1
1391,0.76666667,3056,1
1392,0.76666667,3064,1
1393,0.76666667,3072,1
1394,0.76666667,3080,1
1395,0.76666667,3088,1
1396,0.76666667,3096,1
1397,0.76666667,3104,1
1398,0.76666667,3112,1
1399,0.76666667,3120,1
1400,0.76666667,3128,1
1401,0.76666667,3136,1
1402,0.76666667,3144,1
1404,0.76666667,3152,1
1405,0.76666667,3160,1
1406,0.76666667,3168,1
1408,0.76666667,3176,1
1409,0.76666667,3184,1
1410,0.76666667,3192,1
1411,0.76666667,3200,1
1414,0.76666667,3208,1
