batch,acc,data,epoch
0,0.66666667,0,0
1,0.70000000,8,0
4,0.73333333,16,0
685,0.73333333,24,1
686,0.73333333,32,1
687,0.73333333,40,1
688,0.73333333,48,1
689,0.73333333,56,1
690,0.73333333,64,1
691,0.73333333,72,1
692,0.73333333,80,1
769,0.73333333,88,1
770,0.73333333,96,1
771,0.73333333,104,1
772,0.73333333,112,1
774,0.73333333,120,1
778,0.73333333,128,1
779,0.73333333,136,1
780,0.73333333,144,1
781,0.73333333,152,1
783,0.73333333,160,1
785,0.73333333,168,1
802,0.73333333,176,1
803,0.73333333,184,1
804,0.73333333,192,1
1001,0.73333333,200,1
1002,0.73333333,208,1
1007,0.73333333,216,1
1042,0.73333333,224,1
1043,0.73333333,232,1
1048,0.73333333,240,1
1049,0.73333333,248,1
1050,0.73333333,256,1
1051,0.73333333,264,1
1053,0.73333333,272,1
1067,0.73333333,280,1
1069,0.73333333,288,1
1071,0.73333333,296,1
1072,0.73333333,304,1
1075,0.73333333,312,1
1077,0.73333333,320,1
1078,0.73333333,328,1
1079,0.73333333,336,1
2280,0.73333333,344,1
2397,0.73333333,352,1
2411,0.73333333,360,1
6872,0.73333333,368,3
6874,0.73333333,376,3
6875,0.73333333,384,3
7582,0.73333333,392,3
7583,0.73333333,400,3
7586,0.73333333,408,3
7618,0.73333333,416,3
7620,0.73333333,424,3
7621,0.73333333,432,3
7622,0.73333333,440,3
7633,0.73333333,448,3
7634,0.73333333,456,3
7666,0.73333333,464,3
7669,0.73333333,472,3
7670,0.73333333,480,3
7672,0.73333333,488,3
7715,0.73333333,496,3
