batch,acc,data,epoch
0,0.70000000,0,0
1,0.73333333,8,0
683,0.73333333,16,1
684,0.73333333,24,1
685,0.73333333,32,1
686,0.73333333,40,1
687,0.73333333,48,1
688,0.73333333,56,1
689,0.73333333,64,1
690,0.73333333,72,1
692,0.73333333,80,1
693,0.73333333,88,1
697,0.73333333,96,1
698,0.73333333,104,1
699,0.73333333,112,1
704,0.73333333,120,1
705,0.73333333,128,1
706,0.73333333,136,1
707,0.73333333,144,1
708,0.73333333,152,1
710,0.73333333,160,1
721,0.73333333,168,1
722,0.73333333,176,1
723,0.73333333,184,1
725,0.73333333,192,1
729,0.73333333,200,1
827,0.73333333,208,1
945,0.73333333,216,1
969,0.73333333,224,1
1179,0.73333333,232,1
1180,0.73333333,240,1
1181,0.73333333,248,1
1182,0.73333333,256,1
1209,0.73333333,264,1
1228,0.73333333,272,1
1416,0.73333333,280,1
1492,0.73333333,288,1
1499,0.73333333,296,1
1631,0.73333333,304,1
1904,0.73333333,312,1
1916,0.73333333,320,1
1918,0.73333333,328,1
2809,0.73333333,336,1
2810,0.73333333,344,1
2829,0.73333333,352,1
