batch,acc,data,epoch
0,0.70000000,0,0
1,0.73333333,8,0
683,0.73333333,16,1
684,0.73333333,24,1
685,0.73333333,32,1
686,0.73333333,40,1
687,0.73333333,48,1
688,0.73333333,56,1
689,0.73333333,64,1
690,0.73333333,72,1
694,0.73333333,80,1
695,0.73333333,88,1
696,0.73333333,96,1
697,0.73333333,104,1
698,0.73333333,112,1
699,0.73333333,120,1
700,0.73333333,128,1
701,0.73333333,136,1
702,0.73333333,144,1
703,0.73333333,152,1
704,0.73333333,160,1
705,0.73333333,168,1
706,0.73333333,176,1
707,0.73333333,184,1
712,0.73333333,192,1
713,0.73333333,200,1
714,0.73333333,208,1
715,0.73333333,216,1
716,0.73333333,224,1
717,0.73333333,232,1
722,0.73333333,240,1
723,0.73333333,248,1
724,0.73333333,256,1
725,0.73333333,264,1
744,0.73333333,272,1
746,0.73333333,280,1
747,0.73333333,288,1
1167,0.73333333,296,1
2040,0.73333333,304,1
2041,0.73333333,312,1
2042,0.73333333,320,1
2044,0.73333333,328,1
2053,0.73333333,336,1
2200,0.73333333,344,1
2203,0.73333333,352,1
2204,0.73333333,360,1
2470,0.73333333,368,1
2471,0.73333333,376,1
