H/W path             Device       Class          Description
============================================================
                                  system         Computer
/0                                bus            Motherboard
/0/0                              memory         188GiB System memory
/0/1                              processor      Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz
/0/100                            bridge         Xeon E7 v3/Xeon E5 v3/Core i7 DMI2
/0/100/1                          bridge         Xeon E7 v3/Xeon E5 v3/Core i7 PCI Express Root Port 1
/0/100/1/0                        storage        MegaRAID SAS-3 3108 [Invader]
/0/100/2                          bridge         Xeon E7 v3/Xeon E5 v3/Core i7 PCI Express Root Port 2
/0/100/2/0                        display        NVIDIA Corporation
/0/100/2/0.1                      multimedia     NVIDIA Corporation
/0/100/2/0.2                      bus            NVIDIA Corporation
/0/100/2/0.3                      bus            NVIDIA Corporation
/0/100/2.2                        bridge         Xeon E7 v3/Xeon E5 v3/Core i7 PCI Express Root Port 2
/0/100/3                          bridge         Xeon E7 v3/Xeon E5 v3/Core i7 PCI Express Root Port 3
/0/100/3/0           eno3         network        NetXtreme BCM5720 Gigabit Ethernet PCIe
/0/100/3/0.1         eno4         network        NetXtreme BCM5720 Gigabit Ethernet PCIe
/0/100/3.1                        bridge         Xeon E7 v3/Xeon E5 v3/Core i7 PCI Express Root Port 3
/0/100/3.1/0         eno1         network        NetXtreme BCM5720 Gigabit Ethernet PCIe
/0/100/3.1/0.1       eno2         network        NetXtreme BCM5720 Gigabit Ethernet PCIe
/0/100/3.2                        bridge         Xeon E7 v3/Xeon E5 v3/Core i7 PCI Express Root Port 3
/0/100/4                          generic        Xeon E7 v3/Xeon E5 v3/Core i7 DMA Channel 0
/0/100/4.1                        generic        Xeon E7 v3/Xeon E5 v3/Core i7 DMA Channel 1
/0/100/4.2                        generic        Xeon E7 v3/Xeon E5 v3/Core i7 DMA Channel 2
/0/100/4.3                        generic        Xeon E7 v3/Xeon E5 v3/Core i7 DMA Channel 3
/0/100/4.4                        generic        Xeon E7 v3/Xeon E5 v3/Core i7 DMA Channel 4
/0/100/4.5                        generic        Xeon E7 v3/Xeon E5 v3/Core i7 DMA Channel 5
/0/100/4.6                        generic        Xeon E7 v3/Xeon E5 v3/Core i7 DMA Channel 6
/0/100/4.7                        generic        Xeon E7 v3/Xeon E5 v3/Core i7 DMA Channel 7
/0/100/5                          generic        Xeon E7 v3/Xeon E5 v3/Core i7 Address Map, VTd_Misc, System Management
/0/100/5.1                        generic        Xeon E7 v3/Xeon E5 v3/Core i7 Hot Plug
/0/100/5.2                        generic        Xeon E7 v3/Xeon E5 v3/Core i7 RAS, Control Status and Global Errors
/0/100/5.4                        generic        Xeon E7 v3/Xeon E5 v3/Core i7 I/O APIC
/0/100/11                         generic        C610/X99 series chipset SPSR
/0/100/11.4                       storage        C610/X99 series chipset sSATA Controller [AHCI mode]
/0/100/14                         bus            C610/X99 series chipset USB xHCI Host Controller
/0/100/16                         communication  C610/X99 series chipset MEI Controller #1
/0/100/16.1                       communication  C610/X99 series chipset MEI Controller #2
/0/100/1a                         bus            C610/X99 series chipset USB Enhanced Host Controller #2
/0/100/1c                         bridge         C610/X99 series chipset PCI Express Root Port #1
