,id,label_1,label_2,label_3,label_4,label_5,label_6,count_6,count_5,count_4,count_3,count_2,count_1,average
74859,VirusShare_89e5b326bbfa0eabf936bc8aae2e826f,2,1,4,1,2,4,0,1,0,3,0,0,10.667
74865,VirusShare_addd1facefa24ddf318bfb45f698d1cd,2,0,3,1,1,4,0,1,0,1,1,1,8.166
74870,VirusShare_39ea505efea830ebec0f499696f8ee79,2,0,2,1,1,4,0,1,0,1,0,0,7.399
38453,VirusShare_b34fed32e59a53157991d10cf7a7d7b9,3,0,3,1,2,4,0,1,0,0,1,0,9.9
72938,VirusShare_ca50d5760f33c0d1cd92df6b2d5affa3,3,1,3,1,1,4,0,0,2,0,0,0,10.033999999999999
74011,VirusShare_b9fd51cf8b7211a4030baf458cadf681,3,1,3,0,2,4,0,0,2,0,0,0,10.033999999999999
66907,VirusShare_3ed9e5a8c83a61d4b09444cc1bfa8177,3,1,4,0,1,4,0,0,0,3,0,0,10.068
73132,VirusShare_cb40f17e3655fbd0aba070ed328d0860,3,1,2,1,2,4,0,0,0,3,0,0,9.934
25490,VirusShare_1d5bfbb703cb1572c611f4c93b4a7a76,4,0,2,0,1,4,0,0,0,3,0,0,8.468
61269,VirusShare_c03a0632ab41fcb794e37eeef6e85db8,3,1,2,0,1,4,0,0,0,3,0,0,8.468
64760,VirusShare_477c4b576e179c8c774245435f0d8588,3,1,2,0,1,4,0,0,0,3,0,0,8.468
66397,VirusShare_d7022f409306e75038d4209a6cc6bf06,2,1,2,0,2,4,0,0,0,3,0,0,8.434
66587,VirusShare_c0a1cc3bb420ac30a0527b3d1f61c312,3,1,1,1,1,4,0,0,0,3,0,0,8.434
66737,VirusShare_7defd55a22d34425c53554bb8d1fd068,2,1,2,1,1,4,0,0,0,3,0,0,8.434
67315,VirusShare_793c8cb2bac79753842396c304e60e03,3,1,1,0,2,4,0,0,0,3,0,0,8.434
67367,VirusShare_5204960ca57b7bbf4d1602f6e467c69d,2,0,2,2,1,4,0,0,0,3,0,0,8.434
68093,VirusShare_d1c28b48145a87a40604903c4dc66bac,2,1,2,2,0,4,0,0,0,3,0,0,8.434
68887,VirusShare_45834fd6605cad764c19d0c7edcf659b,2,1,4,0,0,4,0,0,0,3,0,0,8.434
68980,VirusShare_b109ffd80ee877333fe2395b3f45499f,2,1,2,1,1,4,0,0,0,3,0,0,8.434
70658,VirusShare_b1910918b5d88ca2fd8a9a583ab82dc3,2,0,4,0,1,4,0,0,0,3,0,0,8.434
33034,VirusShare_0028a81fbb2a3af538e4428bd0704bdd,3,0,2,0,2,4,0,0,0,3,0,0,8.334
35555,VirusShare_818e88e187ca696fe8033be6ded5bfd7,3,0,2,1,1,4,0,0,0,3,0,0,8.334
36154,VirusShare_d5593101445d5518c9188bb8d084ea93,2,1,2,1,1,4,0,0,0,3,0,0,8.334
66690,VirusShare_b8dd2cd0de7d8cc72374e3499314b296,3,1,2,1,0,4,0,0,0,3,0,0,8.334
69320,VirusShare_8297e9993ee8a93bf06c2385df52d74b,2,1,2,1,1,4,0,0,0,3,0,0,8.334
70038,VirusShare_c04724dc42236ef4bde8d4e27c4df67e,3,1,2,1,0,4,0,0,0,3,0,0,8.334
72733,VirusShare_01ccf38c6f165f1f9282e2a77c98d55f,3,0,2,1,1,4,0,0,0,3,0,0,8.334
30919,VirusShare_9d80e92f5839dab09e306fa7eee92ed8,3,0,1,1,1,4,0,0,0,3,0,0,7.667000000000001
31234,VirusShare_c08f752d783b282cbd00f24593ffb462,2,1,1,1,1,4,0,0,0,3,0,0,7.667000000000001
67696,VirusShare_dc51c4024919a050dbf9c2fb145bd157,2,0,1,2,1,4,0,0,0,3,0,0,7.667000000000001
72250,VirusShare_1a2c02308c2d83a39260c6a6235ea289,3,0,1,0,2,4,0,0,0,3,0,0,7.667000000000001
72695,VirusShare_11d113a945f4c34fde4982c9fd50e440,3,0,1,0,2,4,0,0,0,3,0,0,7.667000000000001
72723,VirusShare_18535a25b9b096a5189084ccd4152f34,2,0,1,1,2,4,0,0,0,3,0,0,7.667000000000001
30789,VirusShare_bc526582c38cb63492128ede9d502db5,3,0,2,0,1,4,0,0,0,3,0,0,7.4670000000000005
30973,VirusShare_584e54a2fb4aa613312ce27f44a28c02,2,1,2,1,0,4,0,0,0,3,0,0,7.4670000000000005
31547,VirusShare_127e8800b0c89ebad4398b870eb465a5,3,0,2,0,1,4,0,0,0,3,0,0,7.4670000000000005
32469,VirusShare_02d64105bff76c1460887987e6f7e14e,3,0,2,0,1,4,0,0,0,3,0,0,7.4670000000000005
32875,VirusShare_68f1be96b1692cdee6b7da96c3954113,3,0,2,1,0,4,0,0,0,3,0,0,7.4670000000000005
33879,VirusShare_ba8725b9ce01f16f9e497325110c90da,3,0,2,1,0,4,0,0,0,3,0,0,7.4670000000000005
33923,VirusShare_0890d90a6bac78107006333290bbfa1e,3,0,2,1,0,4,0,0,0,3,0,0,7.4670000000000005
34214,VirusShare_094f59b987bd9614c04b352c3cb4c04a,3,0,2,1,0,4,0,0,0,3,0,0,7.4670000000000005
35096,VirusShare_33a209a78ce19210222e5673152c2d43,3,0,2,1,0,4,0,0,0,3,0,0,7.4670000000000005
36179,VirusShare_34f65d53f96f5075989ca539a001d9d6,3,0,2,1,0,4,0,0,0,3,0,0,7.4670000000000005
36467,VirusShare_140be14affeafc4d8106945df8f77f2c,2,1,2,1,0,4,0,0,0,3,0,0,7.4670000000000005
36531,VirusShare_3b45fd3181a200fd8851056836026bfe,3,0,2,1,0,4,0,0,0,3,0,0,7.4670000000000005
36908,VirusShare_367567ac6e04a492b2d34084bceda3b6,3,0,2,1,0,4,0,0,0,3,0,0,7.4670000000000005
66658,VirusShare_905e1e102e0fe6ae22323a5a04168b81,2,1,2,1,0,4,0,0,0,3,0,0,7.4670000000000005
69628,VirusShare_98287fe0c79fb005ec966ba24804eeb1,3,0,2,1,0,4,0,0,0,3,0,0,7.4670000000000005
72760,VirusShare_dbba2e82aa686c61d56892f4bbe03159,2,1,2,1,2,4,0,0,0,1,0,0,9.301
37953,VirusShare_dd68cc0e2fecb9ebe331068f4dd61211,3,0,3,0,2,4,0,0,0,1,0,0,9.167
74217,VirusShare_5292123419b2e7f5089322c6e15ea71d,2,1,2,1,2,4,0,0,0,1,0,0,9.167
74283,VirusShare_83190f126a48ab11881298191de396f7,2,1,2,1,2,4,0,0,0,1,0,0,9.167
74396,VirusShare_c18a6f2554732df5f115b4ddfd3d6c33,2,0,4,0,2,4,0,0,0,1,0,0,9.167
74402,VirusShare_dd2961608a8e684617cd7962f0334f43,2,1,4,0,1,4,0,0,0,1,0,0,9.167
74437,VirusShare_19ed5352ff279519c2f93d233542d638,2,1,2,1,2,4,0,0,0,1,0,0,9.167
74458,VirusShare_cf19f1ec994ec9b22b58d75ca56cb594,2,1,4,0,1,4,0,0,0,1,0,0,9.167
74602,VirusShare_74c3a1a8b3d4ded79bcb03973618d11e,2,1,2,2,1,4,0,0,0,1,0,0,9.167
74691,VirusShare_db2b5a8b69e1cf3f958f126fc2497c83,2,0,2,2,2,4,0,0,0,1,0,0,9.167
74787,VirusShare_a0eb6bb426ae2e7202707573edf998b9,2,1,2,1,2,4,0,0,0,1,0,0,9.167
38110,VirusShare_3458fd20cd4d3b3b7f9703bd042a31ff,3,0,4,1,0,4,0,0,0,1,0,0,9.067
73126,VirusShare_4b8ebc1e5e90f3931cbb64bcabc31de4,2,0,3,1,1,4,0,0,0,1,0,0,8.399999999999999
15474,VirusShare_d7cb2148756561e274e9f0c4fb0e3912,2,0,1,0,1,4,0,0,0,0,4,0,6.134
16361,VirusShare_586a9eb350cfa28f2c5127707a8608c1,2,0,1,0,1,4,0,0,0,0,4,0,6.134
17237,VirusShare_2489974290525ac2a7675f1cd8df2b74,2,0,1,0,1,4,0,0,0,0,4,0,6.134
17371,VirusShare_c660ba6ffa9bc944ec0b5c3049145ed5,2,0,1,0,1,4,0,0,0,0,4,0,6.134
18717,VirusShare_d1bc9d51ec2a9140bce5504a54da3b4e,2,0,1,0,1,4,0,0,0,0,4,0,6.134
23227,VirusShare_bb6409f11f1b50d6cb00536aa865f080,2,0,1,0,1,4,0,0,0,0,4,0,6.134
23509,VirusShare_8a39dc3ff41cb033d92ed37cc2cae5ec,2,0,1,0,1,4,0,0,0,0,4,0,6.134
24473,VirusShare_3198d673f8b721a34aa78c954d8850ef,3,0,0,0,1,4,0,0,0,0,4,0,6.134
24776,VirusShare_18be2ce30480aa94223864aca58c051f,2,0,1,0,1,4,0,0,0,0,4,0,6.134
25070,VirusShare_426d9d29ae8a26c02691578af7025ab0,3,0,0,0,1,4,0,0,0,0,4,0,6.134
26796,VirusShare_f2cc4b08e9936a3f8e525a496c4ae256,3,0,0,0,1,4,0,0,0,0,4,0,6.134
27647,VirusShare_eaf5e63731b732d70544c7cb30d06fa2,2,0,1,0,1,4,0,0,0,0,4,0,6.134
28016,VirusShare_8f784812a4495a3f715ea2653260b291,2,0,1,0,1,4,0,0,0,0,4,0,6.134
29199,VirusShare_8db743cdfbeea0fbb88b01c1862b7c1e,3,0,0,0,1,4,0,0,0,0,4,0,6.134
29729,VirusShare_0b56dc5b73f0b2192280c1ba730be303,2,0,1,0,1,4,0,0,0,0,4,0,6.134
