batch,acc,data
0,0.70000000,0
8,0.73333333,8
24,0.76666667,16
1985,0.76666667,24
1986,0.76666667,32
2321,0.76666667,40
2323,0.76666667,48
2329,0.76666667,56
2335,0.76666667,64
2336,0.76666667,72
2340,0.76666667,80
2343,0.76666667,88
2345,0.76666667,96
2346,0.76666667,104
2347,0.76666667,112
2351,0.76666667,120
2354,0.76666667,128
2356,0.76666667,136
2357,0.76666667,144
2358,0.76666667,152
2360,0.76666667,160
2366,0.76666667,168
2367,0.76666667,176
2368,0.76666667,184
2370,0.76666667,192
2371,0.76666667,200
2372,0.76666667,208
2373,0.76666667,216
2375,0.76666667,224
2377,0.76666667,232
2378,0.76666667,240
2379,0.76666667,248
2381,0.76666667,256
2385,0.76666667,264
2386,0.76666667,272
2387,0.76666667,280
2388,0.76666667,288
2389,0.76666667,296
2390,0.76666667,304
2391,0.76666667,312
2392,0.76666667,320
2394,0.76666667,328
2400,0.76666667,336
2401,0.76666667,344
2402,0.76666667,352
2403,0.76666667,360
2409,0.76666667,368
2410,0.76666667,376
2411,0.76666667,384
2412,0.76666667,392
2413,0.76666667,400
2414,0.76666667,408
2415,0.76666667,416
2417,0.76666667,424
2418,0.76666667,432
2419,0.76666667,440
2420,0.76666667,448
2421,0.76666667,456
2422,0.76666667,464
2424,0.76666667,472
2425,0.76666667,480
2426,0.76666667,488
2427,0.76666667,496
2428,0.76666667,504
2429,0.76666667,512
2430,0.76666667,520
2431,0.76666667,528
2432,0.76666667,536
2435,0.76666667,544
2437,0.76666667,552
2438,0.76666667,560
2440,0.76666667,568
2442,0.76666667,576
2443,0.76666667,584
2444,0.76666667,592
2445,0.76666667,600
2447,0.76666667,608
2448,0.76666667,616
2449,0.76666667,624
2450,0.76666667,632
2451,0.76666667,640
2452,0.76666667,648
2453,0.76666667,656
2454,0.76666667,664
2455,0.76666667,672
2456,0.76666667,680
2457,0.76666667,688
2458,0.76666667,696
2459,0.76666667,704
2461,0.76666667,712
2462,0.76666667,720
2463,0.76666667,728
2464,0.76666667,736
2465,0.76666667,744
2466,0.76666667,752
2467,0.76666667,760
