batch,acc,data
0,0.66666667,0
1,0.73333333,32
3,0.76666667,64
195,0.76666667,96
213,0.76666667,128
214,0.76666667,160
219,0.76666667,192
227,0.76666667,224
231,0.76666667,256
232,0.76666667,288
233,0.76666667,320
234,0.76666667,352
237,0.76666667,384
238,0.76666667,416
253,0.76666667,448
258,0.76666667,480
259,0.76666667,512
269,0.76666667,544
270,0.76666667,576
274,0.76666667,608
275,0.76666667,640
276,0.76666667,672
277,0.76666667,704
278,0.76666667,736
279,0.76666667,768
280,0.76666667,800
281,0.76666667,832
282,0.76666667,864
286,0.76666667,896
287,0.76666667,928
289,0.76666667,960
291,0.76666667,992
299,0.76666667,1024
302,0.76666667,1056
303,0.76666667,1088
306,0.76666667,1120
308,0.76666667,1152
309,0.76666667,1184
311,0.76666667,1216
312,0.76666667,1248
313,0.76666667,1280
314,0.76666667,1312
315,0.76666667,1344
316,0.76666667,1376
317,0.76666667,1408
319,0.76666667,1440
320,0.76666667,1472
321,0.76666667,1504
322,0.76666667,1536
323,0.76666667,1568
324,0.76666667,1600
326,0.76666667,1632
328,0.76666667,1664
329,0.76666667,1696
330,0.76666667,1728
331,0.76666667,1760
334,0.76666667,1792
337,0.76666667,1824
338,0.76666667,1856
339,0.76666667,1888
340,0.76666667,1920
341,0.76666667,1952
342,0.76666667,1984
343,0.76666667,2016
344,0.76666667,2048
345,0.76666667,2080
346,0.76666667,2112
351,0.76666667,2144
352,0.76666667,2176
353,0.76666667,2208
354,0.76666667,2240
355,0.76666667,2272
356,0.76666667,2304
357,0.76666667,2336
358,0.76666667,2368
359,0.76666667,2400
360,0.76666667,2432
361,0.76666667,2464
362,0.76666667,2496
364,0.76666667,2528
365,0.76666667,2560
366,0.76666667,2592
367,0.76666667,2624
368,0.76666667,2656
369,0.76666667,2688
370,0.76666667,2720
373,0.76666667,2752
374,0.76666667,2784
375,0.76666667,2816
376,0.76666667,2848
377,0.76666667,2880
378,0.76666667,2912
380,0.76666667,2944
381,0.76666667,2976
382,0.76666667,3008
383,0.76666667,3040
384,0.76666667,3072
385,0.76666667,3104
388,0.76666667,3136
389,0.76666667,3168
390,0.76666667,3200
391,0.76666667,3232
392,0.76666667,3264
393,0.76666667,3296
394,0.76666667,3328
395,0.76666667,3360
396,0.76666667,3392
397,0.76666667,3424
398,0.76666667,3456
399,0.76666667,3488
400,0.76666667,3520
403,0.76666667,3552
404,0.76666667,3584
405,0.76666667,3616
406,0.76666667,3648
407,0.76666667,3680
408,0.76666667,3712
409,0.76666667,3744
410,0.76666667,3776
412,0.76666667,3808
413,0.76666667,3840
414,0.76666667,3872
415,0.76666667,3904
416,0.76666667,3936
417,0.76666667,3968
419,0.76666667,4000
421,0.76666667,4032
423,0.76666667,4064
424,0.76666667,4096
425,0.76666667,4128
426,0.76666667,4160
427,0.76666667,4192
428,0.76666667,4224
429,0.76666667,4256
431,0.76666667,4288
432,0.76666667,4320
433,0.76666667,4352
434,0.76666667,4384
435,0.76666667,4416
436,0.76666667,4448
437,0.76666667,4480
438,0.76666667,4512
439,0.76666667,4544
440,0.76666667,4576
441,0.76666667,4608
442,0.76666667,4640
443,0.76666667,4672
444,0.76666667,4704
445,0.76666667,4736
446,0.76666667,4768
447,0.76666667,4800
448,0.76666667,4832
449,0.76666667,4864
450,0.76666667,4896
451,0.76666667,4928
452,0.76666667,4960
453,0.76666667,4992
454,0.76666667,5024
455,0.76666667,5056
456,0.76666667,5088
457,0.76666667,5120
458,0.76666667,5152
460,0.76666667,5184
461,0.76666667,5216
462,0.76666667,5248
463,0.76666667,5280
464,0.76666667,5312
465,0.76666667,5344
466,0.76666667,5376
467,0.76666667,5408
468,0.76666667,5440
